日期,上傳此GPX用戶,總距離水平(km),總爬升高度(m),總下降高度(m),總花費時間(HH:MM:SS),起始到折返點時間(HH:MM:SS),折返到結束時間(HH:MM:SS),上山水平速度(km/h),上山垂直速度(m/h),下山水平速度(km/h),下山垂直速度(m/h),全程平均水平速度(km/h),全程平均垂直速度(m/h),最高海拔(m),最低海拔(m)
2022-09-16,no.261,16.6,2850,2885,12:51:57,06:52:40,05:59:17,1.04,304.5,1.58,371.7,1.29,221.6,3324,1851
2022-09-09,no.262,19.15,3378,3374,12:18:56,07:02:00,05:16:56,1.55,348.6,1.56,446.4,1.55,274.3,3332,1888
2022-08-20,no.263,10.66,2267,2273,10:38:15,06:30:11,04:08:04,0.82,274.8,1.28,460.5,1.0,213.1,3310,1872
2020-07-22,no.264,11.07,3121,3119,07:49:14,05:11:30,02:37:44,1.16,394.7,1.93,946.0,1.41,399.1,3345,1893
2022-07-26,no.265,13.42,2318,2310,08:52:59,05:45:56,03:07:03,1.27,356.1,1.96,515.7,1.51,261.0,3329,1952
2022-07-12,no.266,13.28,3220,3217,10:35:46,06:45:51,03:49:55,0.98,383.9,1.74,535.2,1.25,303.9,3324,1880
2024-12-28,no.267,24.16,5668,5672,13:00:55,06:46:50,06:14:05,1.68,599.6,2.04,488.8,1.86,435.5,3338,1882
2021-11-05,no.268,13.05,1664,1538,07:15:31,04:10:47,03:04:44,1.56,381.4,2.12,478.1,1.8,229.4,3325,1797
2022-06-04,no.269,18.13,3211,3209,11:56:25,06:51:28,05:04:57,1.48,375.8,1.57,406.8,1.52,268.9,3332,1886
2022-06-03,no.270,11.01,1646,1655,08:25:24,04:40:58,03:44:26,1.17,332.0,1.48,407.0,1.31,195.5,3316,1884
2022-04-29,no.271,17.37,6224,6223,11:44:30,05:48:41,05:55:49,1.45,739.0,1.51,566.6,1.48,530.1,3326,1851
2022-04-30,no.272,14.06,2190,2190,07:46:08,04:39:14,03:06:54,1.64,407.0,2.07,550.7,1.81,281.9,3324,1887
2022-04-22,no.273,15.63,2494,2501,08:17:56,05:38:28,02:39:28,1.47,375.0,2.76,681.9,1.88,300.6,3323,1882
2022-04-03,no.274,28.16,3714,3705,11:29:46,06:37:01,04:52:45,2.38,422.9,2.54,475.5,2.45,323.2,3307,1889
2022-03-14,no.275,13.81,4572,2679,13:11:07,06:13:29,06:57:38,1.25,660.2,0.87,271.1,1.05,346.8,3326,9
2022-02-27,no.276,14.14,6257,6169,10:03:17,06:32:38,03:30:39,1.35,741.8,1.51,776.9,1.41,622.4,3308,1892
2022-02-03,no.277,13.67,2123,2125,08:10:53,04:17:58,03:52:55,1.61,410.6,1.74,459.2,1.67,259.6,3319,1888
2024-12-07,no.278,24.36,2837,2841,09:42:30,05:49:33,03:52:57,2.51,383.6,2.5,527.7,2.51,292.3,3343,1881
2021-12-09,no.279,11.42,2250,2248,09:54:46,05:02:51,04:51:55,1.16,360.8,1.14,379.6,1.15,227.0,3310,1872
2021-12-04,no.280,6.19,2193,819,05:02:32,04:56:12,00:06:20,1.23,442.0,1.2,113.7,1.23,434.9,3310,1934
2021-11-20,no.281,13.97,2173,2186,07:53:40,04:58:31,02:55:09,1.45,383.6,2.31,582.8,1.77,275.3,3323,1884
2021-09-25,no.282,12.94,2383,2385,09:52:14,05:39:19,04:12:55,1.26,375.5,1.38,398.8,1.31,241.4,3315,1890
2021-08-27,no.283,11.3,2499,2499,11:17:41,06:01:09,05:16:32,0.87,292.1,1.15,410.4,1.0,221.3,3310,1872
2021-04-30,no.284,12.56,1500,1490,09:57:04,05:44:26,04:12:38,1.12,249.2,1.46,337.0,1.26,150.8,3264,1889
2021-04-18,no.285,16.24,2640,2636,11:50:46,05:47:23,06:03:23,1.52,372.6,1.23,313.8,1.37,222.9,3317,1885
2017-07-08,no.286,17.46,3016,3029,09:44:38,06:07:23,03:37:15,1.53,298.3,2.24,726.2,1.79,309.6,3333,1881
2024-07-19,no.287,13.31,2562,2577,09:44:42,06:44:41,03:00:01,1.1,327.5,1.96,595.4,1.37,263.0,3325,1885
2024-07-05,no.288,15.94,2481,2484,10:44:58,06:42:57,04:02:01,1.32,322.6,1.75,435.3,1.48,230.9,3338,1885
2024-05-18,no.289,15.11,3394,3384,06:22:57,03:56:16,02:26:41,2.06,680.0,2.87,875.8,2.37,531.9,3327,1877
2024-01-05,no.290,11.72,3272,3287,10:12:53,06:53:43,03:19:10,0.94,341.1,1.59,704.9,1.15,320.4,3324,1892
2022-07-30,no.291,8.33,1996,598,03:35:01,03:32:30,00:02:31,2.33,563.2,1.75,57.2,2.32,557.1,3300,1880
2023-04-23,no.292,14.45,3475,3479,12:37:53,06:43:09,05:54:44,1.11,382.1,1.18,396.8,1.14,275.1,3330,1881
2023-04-23,no.293,7.35,2250,830,06:16:46,06:16:16,00:00:30,1.17,358.9,0.23,276.1,1.17,358.4,3317,1887
2022-11-03,no.294,16.33,2629,2626,10:26:45,05:15:56,05:10:49,1.75,422.7,1.38,355.5,1.56,251.8,3327,1884
2023-04-24,no.295,8.23,924,2315,05:06:59,00:01:34,05:05:25,0.6,905.0,1.61,454.5,1.61,180.8,3313,1891
2017-09-19,no.296,13.97,2125,2136,10:52:22,06:37:29,04:14:53,1.22,298.3,1.38,372.4,1.29,195.4,3357,1757
2021-12-11,no.297,25.04,3906,3896,11:12:16,07:07:49,04:04:27,2.31,444.9,2.1,527.9,2.23,348.7,3325,1885
2025-04-04,no.298,7.6,1775,1776,04:04:17,02:01:49,02:02:28,1.64,520.4,2.09,694.2,1.87,436.1,2594,1871
2025-05-30,no.299,17.86,2495,2497,10:12:56,05:44:34,04:28:22,1.61,352.0,1.93,425.0,1.75,244.3,3324,1878
2021-11-03,no.300,18.21,2237,2249,12:55:47,07:43:27,05:12:20,1.15,241.6,1.8,333.5,1.41,173.1,3323,1957
2020-10-24,no.301,13.5,2865,2874,11:10:55,07:02:33,04:08:22,1.02,337.7,1.52,458.1,1.21,256.3,3304,1889
2021-08-13,no.302,17.48,4694,4586,10:20:45,06:01:59,04:18:46,1.54,516.2,1.89,695.1,1.69,453.8,3314,1788
2024-12-07,no.303,13.04,2621,2631,08:15:45,04:29:33,03:46:12,1.47,462.7,1.71,523.5,1.58,317.3,3323,1886
2023-06-09,no.304,15.52,3535,3552,08:45:49,04:43:51,04:01:58,1.75,540.2,1.79,592.6,1.77,403.5,3326,1886
2024-04-13,no.305,11.6,2586,2586,08:29:06,04:18:32,04:10:34,1.4,477.2,1.33,438.4,1.37,304.8,3196,1872
2021-09-18,no.306,15.78,6286,6295,10:12:50,05:54:41,04:18:09,1.44,567.1,1.69,1018.5,1.54,615.5,3342,1726
2024-03-09,no.307,13.14,1923,1923,07:52:44,04:30:55,03:21:49,1.55,352.4,1.83,410.3,1.67,244.1,2950,1888
2021-11-20,no.308,12.44,3507,3533,08:15:05,04:23:43,03:51:22,1.4,674.6,1.63,507.9,1.51,425.0,3315,1895
2022-06-03,no.309,12.47,1580,2166,07:18:51,03:16:25,04:02:26,1.57,370.0,1.81,440.9,1.71,216.0,3321,1892
2025-04-03,no.310,13.96,2921,2954,10:41:32,05:36:21,05:05:11,1.28,376.4,1.33,442.1,1.31,273.2,3325,1880
2022-12-03,no.311,6.84,356,1771,03:55:17,00:00:29,03:54:48,2.22,1280.1,1.74,451.7,1.74,91.0,3318,1890
2024-06-19,no.312,12.9,1325,2729,10:07:33,00:04:45,10:02:48,3.2,618.9,1.26,268.0,1.27,130.9,3310,1871
2023-07-15,no.313,16.82,2137,2127,07:18:40,03:53:45,03:24:55,2.31,486.5,2.29,487.6,2.3,292.4,3324,1884
2023-03-24,no.314,17.36,3483,3469,10:01:09,06:16:09,03:45:00,1.52,463.9,2.09,534.4,1.73,347.7,3325,1876
2025-04-27,no.315,13.0,1677,1676,07:09:09,04:16:42,02:52:27,1.58,366.3,2.17,534.6,1.82,234.5,3322,1882
2022-12-31,no.316,17.65,4099,4095,08:58:57,05:26:50,03:32:07,1.83,570.9,2.17,681.4,1.97,456.4,3320,1884
2024-03-16,no.317,15.56,3554,3554,11:08:34,07:05:45,04:02:49,1.22,378.1,1.7,566.9,1.4,319.0,3322,1884
2023-11-20,no.318,17.89,2849,2857,12:12:42,05:54:17,06:18:25,1.56,388.6,1.37,313.6,1.47,233.4,3319,1890
2022-08-02,no.319,18.0,3610,3595,11:40:56,07:20:10,04:20:46,1.36,399.6,1.84,485.1,1.54,309.1,3336,1884
2022-01-01,no.320,3.26,1250,1303,01:59:03,00:51:59,01:07:04,1.16,683.4,2.02,828.6,1.64,630.1,2131,1843
2022-10-09,no.321,14.32,2607,2689,10:12:09,06:28:34,03:43:35,1.11,333.8,1.91,501.3,1.4,255.5,3320,1890
2024-06-19,no.322,20.92,3501,3489,12:09:17,05:27:03,06:42:14,1.54,403.6,1.87,406.5,1.72,288.1,3328,1884
2022-08-05,no.323,15.44,3063,3066,26:49:26,06:49:54,19:59:32,0.93,272.7,0.46,131.9,0.58,114.2,3325,1881
2022-07-16,no.324,22.2,3616,3622,11:44:33,04:41:00,07:03:33,1.81,478.2,1.94,396.9,1.89,307.9,3325,1885
2022-04-30,no.325,28.48,4462,4384,13:28:04,06:56:22,06:31:42,1.81,372.0,2.44,494.0,2.11,331.3,3317,1896
2022-08-05,no.326,15.44,3063,3066,26:49:26,06:49:54,19:59:32,0.93,272.7,0.46,131.9,0.58,114.2,3325,1881
2022-08-14,no.327,26.85,5215,5221,30:15:14,09:25:02,20:50:12,1.24,330.8,0.73,170.1,0.89,172.4,3339,1888
2021-11-07,no.328,25.96,3455,3440,11:44:57,05:41:13,06:03:44,1.7,393.3,2.68,437.6,2.21,294.1,3335,1885
2022-10-01,no.329,17.57,3758,3754,12:53:18,04:49:06,08:04:12,1.23,417.4,1.44,391.7,1.36,291.6,3310,1872
2022-06-13,no.330,15.39,3210,2890,16:09:04,07:38:44,08:30:20,1.14,303.3,0.78,234.5,0.95,198.8,3323,1900
2014-06-11,no.331,19.41,2626,2629,33:42:36,21:36:06,12:06:30,0.32,78.7,1.03,191.2,0.58,77.9,3288,1883
2021-08-29,no.332,14.51,1835,1830,13:37:08,05:50:34,07:46:34,0.89,244.9,1.19,224.2,1.07,134.8,3265,1914
2020-06-22,no.333,21.03,4965,4968,28:11:04,06:36:47,21:34:17,1.32,474.6,0.57,149.8,0.75,176.2,3306,1888
2024-03-16,no.334,16.92,3100,3181,10:49:50,05:31:40,05:18:10,1.53,374.2,1.59,463.8,1.56,286.3,3324,1889
2020-10-09,no.335,22.62,3942,3941,18:28:40,07:42:45,10:45:55,0.97,247.7,1.41,319.7,1.22,213.4,3335,1234
2022-10-27,no.336,38.5,6095,5441,-52:45:46,-34:25:11,-18:20:35,-0.54,-111.8,-1.16,-203.9,-0.75,-119.0,3326,1265
2024-12-09,no.337,6.21,1655,832,05:37:31,05:37:31,00:00:00,1.1,294.3,0,0,1.1,294.3,2905,2068
2024-12-09,no.338,8.01,1014,1966,05:58:58,02:15:36,03:43:22,1.31,340.3,1.36,428.5,1.34,169.5,3317,1967
2023-04-09,no.339,10.71,1680,1688,28:29:58,06:58:34,21:31:24,0.73,221.1,0.26,72.5,0.38,59.0,3307,1879
2025-04-18,no.340,8.13,1817,1820,09:35:47,05:42:32,03:53:15,0.69,295.9,1.08,380.7,0.85,189.4,3309,1935
2023-08-11,no.341,14.89,2808,2805,12:05:22,06:52:17,05:13:05,1.04,316.5,1.48,393.2,1.23,232.3,3330,1889
2022-11-05,no.342,21.41,3472,3467,11:42:36,05:57:33,05:45:03,1.78,392.3,1.88,446.9,1.83,296.5,3332,1872
2025-01-17,no.343,15.03,3309,3316,13:13:18,06:35:19,06:37:59,1.16,358.8,1.11,359.4,1.14,250.3,3331,1881
2024-09-27,no.344,24.0,3940,3932,29:20:41,07:05:51,22:14:50,2.09,478.5,0.41,89.2,0.82,134.3,3351,1883
2021-11-14,no.345,12.4,4547,4323,09:14:29,06:29:00,02:45:29,1.08,510.7,1.96,954.5,1.34,492.1,3329,1709
2022-04-17,no.346,16.27,3502,3497,14:10:16,05:22:33,08:47:43,1.02,351.8,1.23,344.6,1.15,247.1,3310,1872
2024-09-18,no.347,20.71,3642,3636,18:21:30,07:11:56,11:09:34,1.42,342.4,0.94,231.8,1.13,198.4,3310,1871
2022-04-14,no.348,12.51,3001,1606,09:15:03,09:07:16,00:07:47,1.35,326.0,1.42,331.2,1.35,324.4,3321,1911
2021-04-30,no.349,22.37,4314,4306,50:14:22,30:08:32,20:05:50,0.41,102.8,0.5,140.8,0.45,85.9,3510,1872
2021-04-30,no.350,20.79,2814,2463,48:44:51,30:15:15,18:29:36,0.47,84.7,0.36,82.4,0.43,57.7,3522,1893
2025-04-03,no.351,22.35,3614,3613,09:22:49,05:56:15,03:26:34,2.1,473.7,2.86,648.4,2.38,385.4,3322,1881
2022-10-01,no.352,76.85,6868,7017,34:46:23,26:57:02,07:49:21,1.32,179.1,5.26,488.6,2.21,197.5,3531,1710
2019-11-09,no.353,22.19,2717,2717,30:42:06,08:22:27,22:19:39,1.34,256.6,0.49,96.4,0.72,88.5,3475,1876
2023-04-15,no.354,24.96,3375,3382,11:41:41,06:46:36,04:55:05,2.11,378.3,2.17,455.4,2.13,288.7,3327,1887
2022-08-07,no.355,6.88,1745,375,05:54:40,05:48:30,00:06:10,1.14,300.0,2.46,437.8,1.16,295.3,3306,1883
2018-12-15,no.356,14.85,1919,1920,31:12:29,05:35:36,25:36:53,0.95,260.5,0.37,72.0,0.48,61.5,3274,1875
2022-10-08,no.357,23.41,3204,3204,15:59:12,11:47:08,04:12:04,1.35,239.9,1.77,425.4,1.46,200.5,3315,1890
2022-10-08,no.358,23.41,3204,3204,15:59:12,11:47:08,04:12:04,1.35,239.9,1.77,425.4,1.46,200.5,3315,1890
2022-10-08,no.359,23.41,3204,3204,15:59:12,11:47:08,04:12:04,1.35,239.9,1.77,425.4,1.46,200.5,3315,1890
2020-08-14,no.360,17.88,3456,3459,11:26:24,05:00:37,06:25:47,1.27,424.6,1.79,425.3,1.56,302.1,3306,1887
2023-08-24,no.361,19.7,3763,3762,14:27:32,05:01:17,09:26:15,1.73,403.3,1.17,335.9,1.36,260.3,3336,1885
2021-11-14,no.362,21.9,3980,3981,13:36:14,06:04:47,07:31:27,1.29,379.7,1.87,411.7,1.61,292.6,3323,1889
2023-03-14,no.363,25.36,3381,3563,14:09:50,06:25:33,07:44:17,1.27,358.5,2.22,351.3,1.79,238.8,3352,1704
2023-02-16,no.364,30.31,4073,4067,52:05:53,24:16:35,27:49:18,0.49,100.9,0.67,116.4,0.58,78.2,3519,1886
2021-02-06,no.365,12.85,2521,2513,13:28:37,09:06:03,04:22:34,0.84,241.3,1.2,400.1,0.95,187.1,3351,1908
2021-11-02,no.366,29.95,6615,6600,33:12:29,10:41:12,22:31:17,1.44,398.1,0.65,177.5,0.9,199.2,3549,1894
2020-11-13,no.367,25.38,3431,3439,31:59:10,07:08:52,24:50:18,1.15,268.1,0.69,118.2,0.79,107.3,3309,1872
2024-08-24,no.368,19.41,2918,2919,10:28:38,05:32:05,04:56:33,1.94,388.0,1.75,445.0,1.85,278.5,3324,1888
2024-12-14,no.369,11.63,2403,2410,11:16:28,06:43:11,04:33:17,0.9,306.0,1.22,388.8,1.03,213.1,3313,1871
2025-03-27,no.370,38.75,5443,5619,49:53:51,08:32:49,41:21:02,1.08,275.0,0.71,118.3,0.78,109.1,3515,1716
2018-07-21,no.371,16.16,2207,2158,33:50:26,07:53:26,25:57:00,0.71,195.0,0.41,81.1,0.48,65.2,3333,1848
2022-07-01,no.372,20.89,2466,2486,10:23:58,03:05:54,07:18:04,1.8,479.9,2.1,332.3,2.01,237.1,3331,1880
2018-12-19,no.373,12.84,2190,657,09:06:07,09:06:07,00:00:00,1.41,240.7,0,0,1.41,240.7,3268,1734
2023-07-07,no.374,18.37,3138,3142,12:01:45,03:47:26,08:14:19,1.57,500.7,1.51,323.0,1.53,260.9,3310,1872
2023-07-21,no.375,15.05,2850,2780,10:48:44,06:16:23,04:32:21,1.37,340.1,1.43,457.4,1.39,263.6,3325,1887
2019-10-26,no.376,16.27,2006,2010,31:26:16,07:16:49,24:09:27,0.67,198.1,0.47,81.7,0.52,63.8,3306,1888
2024-10-09,no.377,32.14,5494,5849,55:08:42,05:25:08,49:43:34,1.32,339.4,0.5,109.3,0.58,99.6,3323,1265
2024-01-19,no.378,7.43,2770,1331,04:01:58,03:59:34,00:02:24,1.86,692.3,0.56,166.2,1.84,687.1,3332,1877
2023-10-21,no.379,16.05,4437,4439,13:32:31,08:01:36,05:30:55,1.06,409.8,1.37,468.7,1.19,327.7,3334,1879
2021-04-16,no.380,18.77,3064,2969,11:47:09,06:48:53,04:58:16,1.54,357.9,1.66,394.7,1.59,260.0,3327,1884
2023-10-27,no.381,1.62,186,256,11:17:06,09:54:00,01:23:06,0.01,1.2,1.12,181.3,0.14,16.5,1985,1886
2018-10-22,no.382,5.4,1646,270,08:10:06,08:01:15,00:08:51,0.64,205.1,1.65,349.8,0.66,201.6,3328,1870
2018-08-18,no.383,6.79,1737,344,06:37:15,06:29:15,00:08:00,1.0,266.4,2.35,300.0,1.03,262.4,3300,1875
2022-07-15,no.384,14.69,1919,1915,08:22:28,06:05:37,02:16:51,1.55,304.2,2.3,651.7,1.75,229.2,3315,1883
2022-11-11,no.385,16.13,6060,6066,14:23:43,07:33:04,06:50:39,1.16,590.2,1.08,441.0,1.12,421.0,3310,1872
2022-09-16,no.386,17.73,3289,3279,12:45:18,07:08:49,05:36:29,1.25,343.0,1.56,403.2,1.39,257.9,3325,1888
2022-02-25,no.387,23.97,3511,3052,119:09:46,100:19:27,18:50:19,0.18,33.9,0.32,81.4,0.2,29.5,3308,1250
2024-06-28,no.388,6.99,2286,859,05:46:54,05:46:48,00:00:06,1.21,395.5,0.89,346.4,1.21,395.4,3318,1891
2022-06-25,no.389,16.52,5868,5867,14:02:45,07:13:39,06:49:06,1.13,548.8,1.22,490.8,1.18,417.8,3352,1862
2022-07-23,no.390,20.49,2966,2972,16:01:16,07:06:03,08:55:13,1.41,286.8,1.18,285.7,1.28,185.2,3508,1876
2022-09-24,no.391,16.08,2438,3710,10:41:40,04:44:47,05:56:53,1.36,287.2,1.62,421.3,1.5,228.0,3332,1894
2022-10-28,no.392,12.9,5465,5481,12:11:21,06:12:53,05:58:28,1.05,641.0,1.07,489.1,1.06,448.4,3313,1873
